Feature,Importance,Importance_sum
numeric__nr.employed,1.0,0.2307717446774662
numeric__pdays,0.44694947407869573,0.10314330991581656
nominal__contact_telephone,0.44630495532727416,0.10299457319907367
nominal__poutcome_success,0.3502373595755123,0.08082488652047004
numeric__cons.conf.idx,0.2926494674546012,0.06753522818342968
numeric__cons.price.idx,0.27780098107227735,0.0641086170751612
nominal__default_unknown,0.25945641830313687,0.05987521031958137
numeric__campaign,0.21582115275696206,0.04980542396002608
numeric__previous,0.1614335930655297,0.0372543119212844
nominal__month_may,0.1602501217980809,0.03698120019211958
nominal__poutcome_nonexistent,0.15486179777290282,0.03573772725594173
nominal__job_blue-collar,0.08842235645234846,0.020405381467001264
nominal__housing_yes,0.0807604925688297,0.018637239771120372
nominal__month_oct,0.07088476981994873,0.01635820200241017
numeric__age,0.05770062651641365,0.013315674250175647
nominal__loan_yes,0.054013393035777,0.01246476494681596
nominal__education_university.degree,0.03847465752090306,0.008878863841966796
nominal__month_mar,0.03469629668700182,0.008006924920306399
nominal__education_basic.9y,0.01995556190192252,0.004605179836125835
nominal__job_retired,0.0196686762927861,0.0045389747435825665
nominal__marital_single,0.014028855545050836,0.0032374634699595273
nominal__month_jun,0.013649300656530203,0.0031498729261347598
nominal__education_basic.6y,0.011430860584818535,0.0026379196403234547
nominal__month_aug,0.008258504453899309,0.0019058294812529686
nominal__job_student,0.007806225831150911,0.0018014563544009993
nominal__job_management,0.005301441884625457,0.001223422993021211
nominal__job_unemployed,0.0051298822356676075,0.0011838318735149546
nominal__marital_married,0.004998570496021663,0.0011535288342602267
nominal__education_high.school,0.004892203220172701,0.0011289822724359724
nominal__job_entrepreneur,0.0041887067384661966,0.0009666351619781033
nominal__month_nov,0.0037527558470901827,0.000866030014181564
nominal__education_unknown,0.003299721831227528,0.0007614825639427003
nominal__job_technician,0.0032712631594350914,0.0007549151066019563
nominal__month_jul,0.0025105226612052397,0.0005793576945786486
nominal__loan_unknown,0.002018586909213972,0.0004658328228224024
nominal__job_self-employed,0.0019411128515166636,0.00044795399936035186
nominal__job_services,0.0016513595241757742,0.00038108711848379385
nominal__education_professional.course,0.0013174887960265324,0.00030403918805205725
nominal__housing_unknown,0.0011252178198104597,0.00025966847941983457
nominal__job_unknown,0.001056569156549625,0.00024382630762935587
nominal__month_sep,0.0007311022517108237,0.00016871774216493083
nominal__job_housemaid,0.00044759494512616456,0.00010329226639557974
nominal__month_dec,0.000110478673890513,2.5495356323366516e-05
nominal__education_illiterate,1.4145023557913256e-05,3.2642717649635024e-06
nominal__marital_unknown,1.1505139524240798e-05,2.655061120766722e-06
nominal__default_yes,0.0,0.0
