Model,Threshold,F2,Recall,Precision,F1
Decision Tree,0.3,0.476,0.7478,0.194,0.308
Decision Tree,0.35,0.476,0.7478,0.194,0.308
Decision Tree,0.4,0.476,0.7478,0.194,0.308
Decision Tree,0.5,0.5529,0.597,0.4268,0.4978
Gradient Boosting,0.3,0.4712,0.8642,0.1672,0.2801
Gradient Boosting,0.35,0.5559,0.7371,0.2803,0.4062
Gradient Boosting,0.4,0.5662,0.7284,0.2994,0.4244
Gradient Boosting,0.5,0.5627,0.6207,0.4097,0.4936
KNN,0.3,0.487,0.7586,0.2002,0.3168
KNN,0.35,0.507,0.7478,0.2216,0.3419
KNN,0.4,0.5207,0.7306,0.2423,0.3639
KNN,0.5,0.5369,0.6552,0.3118,0.4225
Logistic Regression,0.3,0.4586,0.8664,0.1591,0.2688
Logistic Regression,0.35,0.4951,0.8211,0.1913,0.3103
Logistic Regression,0.4,0.5417,0.7414,0.2608,0.3859
Logistic Regression,0.5,0.5708,0.6746,0.3533,0.4637
Random Forest,0.3,0.4373,0.9052,0.1426,0.2463
Random Forest,0.35,0.478,0.8513,0.1736,0.2883
Random Forest,0.4,0.5094,0.7608,0.2194,0.3406
Random Forest,0.5,0.5668,0.6379,0.3921,0.4856
